Categories,Calm,Under 2km/h, 02 to 05km/h, 05 to  10km/h,10 to 15km/h,15 to 20km/h,20 to 30km/h,Over  30km/h
N,9.92,7.85,0.41,0.0,0.0,0.0,0.0,0.0
NNE,9.92,3.31,0.83,0.0,0.0,0.0,0.0,0.0
NE,9.92,4.55,0.41,0.0,0.0,0.0,0.0,0.0
ENE,9.92,1.65,0.41,0.0,0.0,0.0,0.0,0.0
E,9.92,4.13,0.0,0.0,0.0,0.0,0.0,0.0
ESE,9.92,5.79,3.72,0.0,0.0,0.0,0.0,0.0
SE,9.92,7.02,0.41,0.0,0.0,0.0,0.0,0.0
SSE,9.92,9.09,0.0,0.0,0.0,0.0,0.0,0.0
S,9.92,6.61,0.0,0.0,0.0,0.0,0.0,0.0
SSW,9.92,5.37,0.83,0.0,0.0,0.0,0.0,0.0
SW,9.92,0.83,0.41,0.0,0.0,0.0,0.0,0.0
WSW,9.92,1.24,0.83,0.0,0.0,0.0,0.0,0.0
W,9.92,1.24,0.0,0.0,0.0,0.0,0.0,0.0
WNW,9.92,0.83,0.83,0.0,0.0,0.0,0.0,0.0
NW,9.92,4.55,2.48,0.0,0.0,0.0,0.0,0.0
NNW,9.92,7.44,7.02,0.0,0.0,0.0,0.0,0.0
