Categories,Calm,Under 2km/h, 02 to 05km/h, 05 to  10km/h,10 to 15km/h,15 to 20km/h,20 to 30km/h,Over  30km/h
N,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNE,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENE,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESE,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,25.0,14.81,0.0,0.0,0.0,0.0,0.0,0.0
SSE,25.0,16.67,7.41,0.0,0.0,0.0,0.0,0.0
S,25.0,4.63,26.85,4.63,0.0,0.0,0.0,0.0
SSW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
