Categories,Calm,Under 2km/h, 02 to 05km/h, 05 to  10km/h,10 to 15km/h,15 to 20km/h,20 to 30km/h,Over  30km/h
N,0,0.17,0.83,1.32,0.0,0.0,0.0,0.0
NNE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,0,0.5,1.65,0.99,0.0,0.0,0.0,0.0
ENE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0,1.49,3.14,2.15,0.0,0.0,0.0,0.0
ESE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0,2.48,3.64,2.64,0.0,0.0,0.0,0.0
SSE,0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
S,0,0.66,3.47,1.82,0.0,0.0,0.0,0.0
SSW,0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
SW,0,2.81,2.98,4.13,0.0,0.0,0.0,0.0
WSW,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0,1.98,2.31,0.5,0.0,0.0,0.0,0.0
WNW,0,0.0,0.33,0.17,0.0,0.0,0.0,0.0
NW,0,1.16,2.98,3.97,0.0,0.0,0.0,0.0
NNW,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
